"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "Properties", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\gurus\MERN\sociopedia\client\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\gurus\MERN\sociopedia\client\jsconfig.json", "JSON with Comments", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\gurus\MERN\sociopedia\client\package-lock.json", "JSON", 18158, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18159
"c:\Users\gurus\MERN\sociopedia\client\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\gurus\MERN\sociopedia\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\gurus\MERN\sociopedia\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\gurus\MERN\sociopedia\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\gurus\MERN\sociopedia\client\src\App.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\gurus\MERN\sociopedia\client\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\gurus\MERN\sociopedia\client\src\components\FlexBetween.jsx", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\gurus\MERN\sociopedia\client\src\components\Friend.jsx", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\gurus\MERN\sociopedia\client\src\components\Friend2.jsx", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Users\gurus\MERN\sociopedia\client\src\components\UserImage.jsx", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\gurus\MERN\sociopedia\client\src\components\WidgetWrapper.jsx", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gurus\MERN\sociopedia\client\src\components\messageSection.jsx", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 0, 1, 19, 183
"c:\Users\gurus\MERN\sociopedia\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\gurus\MERN\sociopedia\client\src\index.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\gurus\MERN\sociopedia\client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\gurus\MERN\sociopedia\client\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\chatpage\index.jsx", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 0, 1, 7, 119
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\chatroom\index.jsx", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\homepage\index.jsx", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\loginpage\form.jsx", "JavaScript", 0, 0, 260, 0, 0, 0, 0, 0, 1, 15, 276
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\loginpage\index.jsx", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\message\index.jsx", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\messenger\index.jsx", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\navbar\index.jsx", "JavaScript", 0, 0, 201, 0, 0, 0, 0, 0, 0, 12, 213
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\profilepage\index.jsx", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\AdvertWidget.jsx", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\FriendListWidget.jsx", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\MyPostWidget.jsx", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 12, 175
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\PostWidget.jsx", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 8, 113
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\PostsWidget.jsx", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Users\gurus\MERN\sociopedia\client\src\scenes\widgets\UserWidget.jsx", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 16, 161
"c:\Users\gurus\MERN\sociopedia\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\gurus\MERN\sociopedia\client\src\socket\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\gurus\MERN\sociopedia\client\src\state\index.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\gurus\MERN\sociopedia\client\src\theme.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 4, 2, 107
"c:\Users\gurus\MERN\sociopedia\server\.env", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\gurus\MERN\sociopedia\server\controllers\auth.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 2, 7, 58
"c:\Users\gurus\MERN\sociopedia\server\controllers\message.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 2, 6, 40
"c:\Users\gurus\MERN\sociopedia\server\controllers\posts.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 3, 9, 74
"c:\Users\gurus\MERN\sociopedia\server\controllers\users.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 2, 8, 64
"c:\Users\gurus\MERN\sociopedia\server\data\index.js", "JavaScript", 0, 0, 328, 0, 0, 0, 0, 0, 0, 5, 333
"c:\Users\gurus\MERN\sociopedia\server\index.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 9, 9, 92
"c:\Users\gurus\MERN\sociopedia\server\middleware\auth.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\gurus\MERN\sociopedia\server\models\Post.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\gurus\MERN\sociopedia\server\models\User.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\gurus\MERN\sociopedia\server\package-lock.json", "JSON", 2162, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2163
"c:\Users\gurus\MERN\sociopedia\server\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\gurus\MERN\sociopedia\server\routes\auth.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\gurus\MERN\sociopedia\server\routes\message.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 3, 14
"c:\Users\gurus\MERN\sociopedia\server\routes\posts.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 4, 14
"c:\Users\gurus\MERN\sociopedia\server\routes\users.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 4, 18
"Total", "-", 20427, 6, 2745, 38, 3, 42, 1, 20, 58, 296, 23636
