Date : 2023-06-07 09:00:28
Directory : c:\Users\gurus\MERN\sociopedia
Total : 54 files,  23282 codes, 58 comments, 296 blanks, all 23636 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     20,427 |          0 |          5 |     20,432 |
| JavaScript         |         42 |      2,745 |         35 |        250 |      3,030 |
| CSS                |          2 |         42 |          0 |          7 |         49 |
| Markdown           |          1 |         38 |          0 |         33 |         71 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| JSON with Comments |          1 |          6 |          0 |          0 |          6 |
| Properties         |          1 |          3 |          0 |          0 |          3 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |         54 |     23,282 |         58 |        296 |     23,636 |
| client                                                                        |         38 |     20,365 |         34 |        227 |     20,626 |
| client (Files)                                                                |          4 |     18,253 |          0 |         35 |     18,288 |
| client\public                                                                 |          2 |         45 |         23 |          2 |         70 |
| client\src                                                                    |         32 |      2,067 |         11 |        190 |      2,268 |
| client\src (Files)                                                            |          9 |        241 |          8 |         21 |        270 |
| client\src\components                                                         |          6 |        330 |          1 |         43 |        374 |
| client\src\scenes                                                             |         15 |      1,436 |          2 |        119 |      1,557 |
| client\src\scenes\chatpage                                                    |          1 |        111 |          1 |          7 |        119 |
| client\src\scenes\chatroom                                                    |          1 |         46 |          0 |          5 |         51 |
| client\src\scenes\homepage                                                    |          1 |         50 |          0 |          6 |         56 |
| client\src\scenes\loginpage                                                   |          2 |        293 |          1 |         18 |        312 |
| client\src\scenes\message                                                     |          1 |         35 |          0 |          4 |         39 |
| client\src\scenes\messenger                                                   |          1 |         67 |          0 |          6 |         73 |
| client\src\scenes\navbar                                                      |          1 |        201 |          0 |         12 |        213 |
| client\src\scenes\profilepage                                                 |          1 |         58 |          0 |          7 |         65 |
| client\src\scenes\widgets                                                     |          6 |        575 |          0 |         54 |        629 |
| client\src\socket                                                             |          1 |          3 |          0 |          3 |          6 |
| client\src\state                                                              |          1 |         57 |          0 |          4 |         61 |
| server                                                                        |         16 |      2,917 |         24 |         69 |      3,010 |
| server (Files)                                                                |          4 |      2,270 |          9 |         11 |      2,290 |
| server\controllers                                                            |          4 |        197 |          9 |         30 |        236 |
| server\data                                                                   |          1 |        328 |          0 |          5 |        333 |
| server\middleware                                                             |          1 |         17 |          0 |          4 |         21 |
| server\models                                                                 |          2 |         71 |          0 |          5 |         76 |
| server\routes                                                                 |          4 |         34 |          6 |         14 |         54 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                      | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
